Iteration 0, Temperature 950000.00, Current Cost 62229561.00, Best Cost 62229561.00, Elapsed Time 1.17 seconds
Iteration 1, Temperature 902500.00, Current Cost 58408093.00, Best Cost 58408093.00, Elapsed Time 2.23 seconds
Iteration 2, Temperature 857375.00, Current Cost 57035350.00, Best Cost 57035350.00, Elapsed Time 3.25 seconds
Iteration 3, Temperature 814506.25, Current Cost 57035350.00, Best Cost 57035350.00, Elapsed Time 4.25 seconds
Iteration 4, Temperature 773780.94, Current Cost 57035350.00, Best Cost 57035350.00, Elapsed Time 5.25 seconds
Iteration 5, Temperature 735091.89, Current Cost 57035350.00, Best Cost 57035350.00, Elapsed Time 6.25 seconds
Iteration 6, Temperature 698337.30, Current Cost 57035350.00, Best Cost 57035350.00, Elapsed Time 7.22 seconds
Iteration 7, Temperature 663420.43, Current Cost 53076759.00, Best Cost 53076759.00, Elapsed Time 8.17 seconds
Iteration 8, Temperature 630249.41, Current Cost 52986996.00, Best Cost 52986996.00, Elapsed Time 9.12 seconds
Iteration 9, Temperature 598736.94, Current Cost 52986996.00, Best Cost 52986996.00, Elapsed Time 10.07 seconds
Iteration 10, Temperature 568800.09, Current Cost 52986996.00, Best Cost 52986996.00, Elapsed Time 11.01 seconds
Iteration 11, Temperature 540360.09, Current Cost 52986996.00, Best Cost 52986996.00, Elapsed Time 11.97 seconds
Iteration 12, Temperature 513342.08, Current Cost 52986996.00, Best Cost 52986996.00, Elapsed Time 12.92 seconds
Iteration 13, Temperature 487674.98, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 13.87 seconds
Iteration 14, Temperature 463291.23, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 14.82 seconds
Iteration 15, Temperature 440126.67, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 15.77 seconds
Iteration 16, Temperature 418120.34, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 16.71 seconds
Iteration 17, Temperature 397214.32, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 17.66 seconds
Iteration 18, Temperature 377353.60, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 18.60 seconds
Iteration 19, Temperature 358485.92, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 19.55 seconds
Iteration 20, Temperature 340561.63, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 20.51 seconds
Iteration 21, Temperature 323533.54, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 21.45 seconds
Iteration 22, Temperature 307356.87, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 22.39 seconds
Iteration 23, Temperature 291989.02, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 23.34 seconds
Iteration 24, Temperature 277389.57, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 24.29 seconds
Iteration 25, Temperature 263520.09, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 25.24 seconds
Iteration 26, Temperature 250344.09, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 26.20 seconds
Iteration 27, Temperature 237826.89, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 27.14 seconds
Iteration 28, Temperature 225935.54, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 28.09 seconds
Iteration 29, Temperature 214638.76, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 29.04 seconds
Iteration 30, Temperature 203906.83, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 29.98 seconds
Iteration 31, Temperature 193711.48, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 30.94 seconds
Iteration 32, Temperature 184025.91, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 31.91 seconds
Iteration 33, Temperature 174824.61, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 33.04 seconds
Iteration 34, Temperature 166083.38, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 34.06 seconds
Iteration 35, Temperature 157779.21, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 35.02 seconds
Iteration 36, Temperature 149890.25, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 35.97 seconds
Iteration 37, Temperature 142395.74, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 36.90 seconds
Iteration 38, Temperature 135275.95, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 37.85 seconds
Iteration 39, Temperature 128512.16, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 38.80 seconds
Iteration 40, Temperature 122086.55, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 39.75 seconds
Iteration 41, Temperature 115982.22, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 40.70 seconds
Iteration 42, Temperature 110183.11, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 41.65 seconds
Iteration 43, Temperature 104673.95, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 42.59 seconds
Iteration 44, Temperature 99440.26, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 43.54 seconds
Iteration 45, Temperature 94468.24, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 44.48 seconds
Iteration 46, Temperature 89744.83, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 45.42 seconds
Iteration 47, Temperature 85257.59, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 46.36 seconds
Iteration 48, Temperature 80994.71, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 47.31 seconds
Iteration 49, Temperature 76944.98, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 48.27 seconds
Iteration 50, Temperature 73097.73, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 49.22 seconds
Iteration 51, Temperature 69442.84, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 50.17 seconds
Iteration 52, Temperature 65970.70, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 51.12 seconds
Iteration 53, Temperature 62672.16, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 52.06 seconds
Iteration 54, Temperature 59538.56, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 53.01 seconds
Iteration 55, Temperature 56561.63, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 53.95 seconds
Iteration 56, Temperature 53733.55, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 54.91 seconds
Iteration 57, Temperature 51046.87, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 55.85 seconds
Iteration 58, Temperature 48494.53, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 56.80 seconds
Iteration 59, Temperature 46069.80, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 57.74 seconds
Iteration 60, Temperature 43766.31, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 58.68 seconds
Iteration 61, Temperature 41577.99, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 59.62 seconds
Iteration 62, Temperature 39499.09, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 60.56 seconds
Iteration 63, Temperature 37524.14, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 61.50 seconds
Iteration 64, Temperature 35647.93, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 62.45 seconds
Iteration 65, Temperature 33865.54, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 63.48 seconds
Iteration 66, Temperature 32172.26, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 64.45 seconds
Iteration 67, Temperature 30563.65, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 65.56 seconds
Iteration 68, Temperature 29035.46, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 66.58 seconds
Iteration 69, Temperature 27583.69, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 67.52 seconds
Iteration 70, Temperature 26204.51, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 68.49 seconds
Iteration 71, Temperature 24894.28, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 69.43 seconds
Iteration 72, Temperature 23649.57, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 70.39 seconds
Iteration 73, Temperature 22467.09, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 71.35 seconds
