Iteration 0, Temperature 4950000.00, New Cost 73783106.0, Current Cost 73783106.00, Best Cost 73783106.00, Elapsed Time 0.92 seconds
Iteration 1, Temperature 4900500.00, New Cost 48656315.0, Current Cost 48656315.00, Best Cost 48656315.00, Elapsed Time 1.86 seconds
Iteration 2, Temperature 4851495.00, New Cost 42146737.0, Current Cost 42146737.00, Best Cost 42146737.00, Elapsed Time 2.80 seconds
Iteration 3, Temperature 4802980.05, New Cost 41476012.0, Current Cost 41476012.00, Best Cost 41476012.00, Elapsed Time 3.74 seconds
Iteration 4, Temperature 4754950.25, New Cost 41395607.0, Current Cost 41395607.00, Best Cost 41395607.00, Elapsed Time 4.68 seconds
Iteration 5, Temperature 4707400.75, New Cost 41870818.0, Current Cost 41870818.00, Best Cost 41395607.00, Elapsed Time 5.60 seconds
Iteration 6, Temperature 4660326.74, New Cost 42773554.0, Current Cost 42773554.00, Best Cost 41395607.00, Elapsed Time 6.53 seconds
Iteration 7, Temperature 4613723.47, New Cost 42500773.0, Current Cost 42500773.00, Best Cost 41395607.00, Elapsed Time 7.47 seconds
Iteration 8, Temperature 4567586.24, New Cost 43118289.0, Current Cost 43118289.00, Best Cost 41395607.00, Elapsed Time 8.42 seconds
Iteration 9, Temperature 4521910.38, New Cost 42771411.0, Current Cost 42771411.00, Best Cost 41395607.00, Elapsed Time 9.41 seconds
Iteration 10, Temperature 4476691.27, New Cost 43771411.0, Current Cost 43771411.00, Best Cost 41395607.00, Elapsed Time 10.37 seconds
Iteration 11, Temperature 4431924.36, New Cost 44723942.0, Current Cost 43771411.00, Best Cost 41395607.00, Elapsed Time 11.34 seconds
Iteration 12, Temperature 4387605.11, New Cost 42771411.0, Current Cost 42771411.00, Best Cost 41395607.00, Elapsed Time 12.31 seconds
Iteration 13, Temperature 4343729.06, New Cost 43621411.0, Current Cost 43621411.00, Best Cost 41395607.00, Elapsed Time 13.29 seconds
Iteration 14, Temperature 4300291.77, New Cost 44573116.0, Current Cost 43621411.00, Best Cost 41395607.00, Elapsed Time 14.27 seconds
Iteration 15, Temperature 4257288.86, New Cost 44573604.0, Current Cost 44573604.00, Best Cost 41395607.00, Elapsed Time 15.24 seconds
Iteration 16, Temperature 4214715.97, New Cost 45525309.0, Current Cost 45525309.00, Best Cost 41395607.00, Elapsed Time 16.22 seconds
Iteration 17, Temperature 4172568.81, New Cost 44573116.0, Current Cost 44573116.00, Best Cost 41395607.00, Elapsed Time 17.19 seconds
Iteration 18, Temperature 4130843.12, New Cost 43723116.0, Current Cost 43723116.00, Best Cost 41395607.00, Elapsed Time 18.15 seconds
Iteration 19, Temperature 4089534.69, New Cost 44723116.0, Current Cost 44723116.00, Best Cost 41395607.00, Elapsed Time 19.14 seconds
Iteration 20, Temperature 4048639.34, New Cost 45723116.0, Current Cost 45723116.00, Best Cost 41395607.00, Elapsed Time 20.11 seconds
Iteration 21, Temperature 4008152.95, New Cost 46723116.0, Current Cost 46723116.00, Best Cost 41395607.00, Elapsed Time 21.09 seconds
Iteration 22, Temperature 3968071.42, New Cost 45821491.0, Current Cost 45821491.00, Best Cost 41395607.00, Elapsed Time 22.07 seconds
Iteration 23, Temperature 3928390.70, New Cost 46456374.0, Current Cost 46456374.00, Best Cost 41395607.00, Elapsed Time 23.05 seconds
Iteration 24, Temperature 3889106.80, New Cost 47456374.0, Current Cost 47456374.00, Best Cost 41395607.00, Elapsed Time 24.03 seconds
Iteration 25, Temperature 3850215.73, New Cost 48456374.0, Current Cost 47456374.00, Best Cost 41395607.00, Elapsed Time 25.05 seconds
Iteration 26, Temperature 3811713.57, New Cost 48456374.0, Current Cost 48456374.00, Best Cost 41395607.00, Elapsed Time 26.06 seconds
Iteration 27, Temperature 3773596.44, New Cost 49456374.0, Current Cost 49456374.00, Best Cost 41395607.00, Elapsed Time 27.06 seconds
Iteration 28, Temperature 3735860.47, New Cost 50441551.0, Current Cost 50441551.00, Best Cost 41395607.00, Elapsed Time 28.07 seconds
Iteration 29, Temperature 3698501.87, New Cost 49441551.0, Current Cost 49441551.00, Best Cost 41395607.00, Elapsed Time 29.07 seconds
Iteration 30, Temperature 3661516.85, New Cost 50287571.0, Current Cost 50287571.00, Best Cost 41395607.00, Elapsed Time 30.12 seconds
Iteration 31, Temperature 3624901.68, New Cost 51287571.0, Current Cost 51287571.00, Best Cost 41395607.00, Elapsed Time 31.16 seconds
Iteration 32, Temperature 3588652.66, New Cost 51831613.0, Current Cost 51831613.00, Best Cost 41395607.00, Elapsed Time 32.20 seconds
Iteration 33, Temperature 3552766.14, New Cost 50831613.0, Current Cost 50831613.00, Best Cost 41395607.00, Elapsed Time 33.25 seconds
Iteration 34, Temperature 3517238.47, New Cost 51772014.0, Current Cost 51772014.00, Best Cost 41395607.00, Elapsed Time 34.30 seconds
Iteration 35, Temperature 3482066.09, New Cost 50952193.0, Current Cost 50952193.00, Best Cost 41395607.00, Elapsed Time 35.34 seconds
Iteration 36, Temperature 3447245.43, New Cost 51872014.0, Current Cost 50952193.00, Best Cost 41395607.00, Elapsed Time 36.36 seconds
Iteration 37, Temperature 3412772.98, New Cost 51826230.0, Current Cost 50952193.00, Best Cost 41395607.00, Elapsed Time 37.41 seconds
Iteration 38, Temperature 3378645.25, New Cost 51674208.0, Current Cost 51674208.00, Best Cost 41395607.00, Elapsed Time 38.49 seconds
Iteration 39, Temperature 3344858.79, New Cost 50674208.0, Current Cost 50674208.00, Best Cost 41395607.00, Elapsed Time 39.56 seconds
Iteration 40, Temperature 3311410.20, New Cost 51603632.0, Current Cost 50674208.00, Best Cost 41395607.00, Elapsed Time 40.59 seconds
Iteration 41, Temperature 3278296.10, New Cost 51574208.0, Current Cost 51574208.00, Best Cost 41395607.00, Elapsed Time 41.61 seconds
Iteration 42, Temperature 3245513.14, New Cost 52524208.0, Current Cost 52524208.00, Best Cost 41395607.00, Elapsed Time 42.64 seconds
Iteration 43, Temperature 3213058.01, New Cost 53473659.0, Current Cost 53473659.00, Best Cost 41395607.00, Elapsed Time 43.67 seconds
Iteration 44, Temperature 3180927.43, New Cost 54423659.0, Current Cost 54423659.00, Best Cost 41395607.00, Elapsed Time 44.72 seconds
Iteration 45, Temperature 3149118.16, New Cost 53423659.0, Current Cost 53423659.00, Best Cost 41395607.00, Elapsed Time 45.77 seconds
Iteration 46, Temperature 3117626.97, New Cost 54400583.0, Current Cost 53423659.00, Best Cost 41395607.00, Elapsed Time 46.83 seconds
Iteration 47, Temperature 3086450.70, New Cost 54400583.0, Current Cost 54400583.00, Best Cost 41395607.00, Elapsed Time 47.88 seconds
Iteration 48, Temperature 3055586.20, New Cost 55358702.0, Current Cost 54400583.00, Best Cost 41395607.00, Elapsed Time 48.92 seconds
