Temperature: 1000000.000000, Total Cost: 58102761, Elapsed Time: 0.000000 seconds
Temperature: 980000.000000, Total Cost: 56969275, Elapsed Time: 0.018541 seconds
Temperature: 960400.000000, Total Cost: 57499666, Elapsed Time: 0.041528 seconds
Temperature: 941192.000000, Total Cost: 60587136, Elapsed Time: 0.100967 seconds
Temperature: 922368.160000, Total Cost: 60528318, Elapsed Time: 0.205297 seconds
Temperature: 903920.796800, Total Cost: 55037015, Elapsed Time: 0.274205 seconds
Temperature: 885842.380864, Total Cost: 58374956, Elapsed Time: 0.310576 seconds
Temperature: 868125.533247, Total Cost: 55562499, Elapsed Time: 0.366595 seconds
Temperature: 850763.022582, Total Cost: 58016842, Elapsed Time: 0.433520 seconds
Temperature: 833747.762130, Total Cost: 60087577, Elapsed Time: 0.544205 seconds
Temperature: 817072.806888, Total Cost: 59255735, Elapsed Time: 0.647449 seconds
Temperature: 800731.350750, Total Cost: 56926995, Elapsed Time: 0.759380 seconds
Temperature: 784716.723735, Total Cost: 58959282, Elapsed Time: 0.878391 seconds
Temperature: 769022.389260, Total Cost: 57514321, Elapsed Time: 1.002548 seconds
Temperature: 753641.941475, Total Cost: 58372764, Elapsed Time: 1.107925 seconds
Temperature: 738569.102645, Total Cost: 60087577, Elapsed Time: 1.185579 seconds
Temperature: 723797.720592, Total Cost: 59532040, Elapsed Time: 1.288895 seconds
Temperature: 709321.766181, Total Cost: 58483906, Elapsed Time: 1.406638 seconds
Temperature: 695135.330857, Total Cost: 58734807, Elapsed Time: 1.517935 seconds
Temperature: 681232.624240, Total Cost: 57460349, Elapsed Time: 1.612831 seconds
Temperature: 667607.971755, Total Cost: 59151536, Elapsed Time: 1.706923 seconds
Temperature: 654255.812320, Total Cost: 58425790, Elapsed Time: 1.826128 seconds
Temperature: 641170.696074, Total Cost: 56926995, Elapsed Time: 1.952257 seconds
Temperature: 628347.282152, Total Cost: 59678032, Elapsed Time: 2.070492 seconds
Temperature: 615780.336509, Total Cost: 59041440, Elapsed Time: 2.179158 seconds
Temperature: 603464.729779, Total Cost: 57321568, Elapsed Time: 2.298889 seconds
Temperature: 591395.435183, Total Cost: 59532040, Elapsed Time: 2.391922 seconds
Temperature: 579567.526480, Total Cost: 58483906, Elapsed Time: 2.509575 seconds
Temperature: 567976.175950, Total Cost: 50701272, Elapsed Time: 2.620673 seconds
Temperature: 556616.652431, Total Cost: 53527040, Elapsed Time: 2.681776 seconds
Temperature: 545484.319382, Total Cost: 54236070, Elapsed Time: 2.738798 seconds
Temperature: 534574.632995, Total Cost: 55634726, Elapsed Time: 2.804306 seconds
Temperature: 523883.140335, Total Cost: 54693972, Elapsed Time: 2.880185 seconds
Temperature: 513405.477528, Total Cost: 55634726, Elapsed Time: 2.960795 seconds
Temperature: 503137.367978, Total Cost: 54389400, Elapsed Time: 3.036865 seconds
Temperature: 493074.620618, Total Cost: 54286070, Elapsed Time: 3.088432 seconds
Temperature: 483213.128206, Total Cost: 52460349, Elapsed Time: 3.162262 seconds
Temperature: 473548.865642, Total Cost: 54473283, Elapsed Time: 3.212620 seconds
Temperature: 464077.888329, Total Cost: 52857566, Elapsed Time: 3.284073 seconds
Temperature: 454796.330562, Total Cost: 54236070, Elapsed Time: 3.345521 seconds
Temperature: 445700.403951, Total Cost: 54093816, Elapsed Time: 3.411424 seconds
Temperature: 436786.395872, Total Cost: 53507298, Elapsed Time: 3.490651 seconds
Temperature: 428050.667954, Total Cost: 52343585, Elapsed Time: 3.552044 seconds
Temperature: 419489.654595, Total Cost: 54843518, Elapsed Time: 3.604192 seconds
Temperature: 411099.861503, Total Cost: 54532040, Elapsed Time: 3.666322 seconds
Temperature: 402877.864273, Total Cost: 53507298, Elapsed Time: 3.726064 seconds
Temperature: 394820.306988, Total Cost: 51926995, Elapsed Time: 3.787783 seconds
Temperature: 386923.900848, Total Cost: 55634726, Elapsed Time: 3.846909 seconds
Temperature: 379185.422831, Total Cost: 53507298, Elapsed Time: 3.922832 seconds
Temperature: 371601.714375, Total Cost: 54277752, Elapsed Time: 3.984176 seconds
Temperature: 364169.680087, Total Cost: 51926995, Elapsed Time: 4.050751 seconds
Temperature: 356886.286485, Total Cost: 56566197, Elapsed Time: 4.110020 seconds
Temperature: 349748.560756, Total Cost: 56854038, Elapsed Time: 4.216080 seconds
Temperature: 342753.589541, Total Cost: 55158244, Elapsed Time: 4.318649 seconds
Temperature: 335898.517750, Total Cost: 55666398, Elapsed Time: 4.443312 seconds
Temperature: 329180.547395, Total Cost: 56773386, Elapsed Time: 4.594006 seconds
Temperature: 322596.936447, Total Cost: 55144217, Elapsed Time: 4.703677 seconds
Temperature: 316144.997718, Total Cost: 55975623, Elapsed Time: 4.812938 seconds
Temperature: 309822.097764, Total Cost: 55220020, Elapsed Time: 4.900775 seconds
Temperature: 303625.655808, Total Cost: 54858244, Elapsed Time: 5.010820 seconds
Temperature: 297553.142692, Total Cost: 55864493, Elapsed Time: 5.158862 seconds
Temperature: 291602.079838, Total Cost: 56214493, Elapsed Time: 5.299003 seconds
Temperature: 285770.038242, Total Cost: 56573386, Elapsed Time: 5.409963 seconds
Temperature: 280054.637477, Total Cost: 56900680, Elapsed Time: 5.490634 seconds
Temperature: 274453.544727, Total Cost: 55666398, Elapsed Time: 5.607065 seconds
Temperature: 268964.473833, Total Cost: 55309169, Elapsed Time: 5.758014 seconds
Temperature: 263585.184356, Total Cost: 56523386, Elapsed Time: 5.867224 seconds
Temperature: 258313.480669, Total Cost: 56814602, Elapsed Time: 5.977757 seconds
Temperature: 253147.211055, Total Cost: 56900680, Elapsed Time: 6.083802 seconds
Temperature: 248084.266834, Total Cost: 56744365, Elapsed Time: 6.200205 seconds
Temperature: 243122.581498, Total Cost: 56926995, Elapsed Time: 6.298379 seconds
Temperature: 238260.129868, Total Cost: 56566197, Elapsed Time: 6.416391 seconds
Temperature: 233494.927270, Total Cost: 56283784, Elapsed Time: 6.522155 seconds
Temperature: 228825.028725, Total Cost: 56313487, Elapsed Time: 6.617547 seconds
Temperature: 224248.528150, Total Cost: 56697099, Elapsed Time: 6.726558 seconds
Temperature: 219763.557587, Total Cost: 55320375, Elapsed Time: 6.837131 seconds
Temperature: 215368.286436, Total Cost: 55144217, Elapsed Time: 6.901978 seconds
Temperature: 211060.920707, Total Cost: 55309169, Elapsed Time: 7.010575 seconds
Temperature: 206839.702293, Total Cost: 55666398, Elapsed Time: 7.119829 seconds
Temperature: 202702.908247, Total Cost: 55220020, Elapsed Time: 7.270561 seconds
Temperature: 198648.850082, Total Cost: 54600573, Elapsed Time: 7.380849 seconds
Temperature: 194675.873080, Total Cost: 55158244, Elapsed Time: 7.495487 seconds
Temperature: 190782.355619, Total Cost: 55144217, Elapsed Time: 7.620114 seconds
Temperature: 186966.708506, Total Cost: 48334125, Elapsed Time: 7.728895 seconds
Temperature: 183227.374336, Total Cost: 51033405, Elapsed Time: 7.776387 seconds
Temperature: 179562.826850, Total Cost: 51406135, Elapsed Time: 7.845041 seconds
Temperature: 175971.570313, Total Cost: 50448411, Elapsed Time: 7.896276 seconds
Temperature: 172452.138906, Total Cost: 50575120, Elapsed Time: 7.985014 seconds
Temperature: 169003.096128, Total Cost: 51119825, Elapsed Time: 8.047651 seconds
Temperature: 165623.034206, Total Cost: 52406603, Elapsed Time: 8.153680 seconds
Temperature: 162310.573522, Total Cost: 51406135, Elapsed Time: 8.230656 seconds
Temperature: 159064.362051, Total Cost: 51531001, Elapsed Time: 8.281693 seconds
Temperature: 155883.074810, Total Cost: 50432904, Elapsed Time: 8.356119 seconds
Temperature: 152765.413314, Total Cost: 50448411, Elapsed Time: 8.431143 seconds
Temperature: 149710.105048, Total Cost: 52873162, Elapsed Time: 8.524858 seconds
Temperature: 146715.902947, Total Cost: 52069688, Elapsed Time: 8.589535 seconds
Temperature: 143781.584888, Total Cost: 50166153, Elapsed Time: 8.655824 seconds
Temperature: 140905.953190, Total Cost: 52603832, Elapsed Time: 8.737808 seconds
Temperature: 138087.834126, Total Cost: 50748411, Elapsed Time: 8.809773 seconds
Temperature: 135326.077444, Total Cost: 52806512, Elapsed Time: 8.892252 seconds
Temperature: 132619.555895, Total Cost: 51773162, Elapsed Time: 8.952529 seconds
Temperature: 129967.164777, Total Cost: 51692002, Elapsed Time: 9.034954 seconds
Temperature: 127367.821481, Total Cost: 49857304, Elapsed Time: 9.098148 seconds
